2024-12-13 19:25:15 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 19:25:15 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 11856 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 19:25:15 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 19:25:17 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 19:25:17 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 19:25:17 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2024-12-13 19:25:17 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 2.758 seconds (process running for 3.987)
2024-12-13 19:26:02 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 3620 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 19:26:02 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 19:26:04 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 19:26:04 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 19:26:04 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2024-12-13 19:26:04 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 2.527 seconds (process running for 4.174)
2024-12-13 19:31:08 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 19:31:08 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 22668 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 19:31:08 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 19:31:10 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 19:31:10 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 19:31:10 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2024-12-13 19:31:10 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 2.719 seconds (process running for 3.926)
2024-12-13 19:31:36 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 8664 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 19:31:36 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 19:31:39 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
