2024-12-13 09:00:02 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:00:02 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 21648 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:00:02 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:00:03 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:00:03 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:00:03 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-12-13 09:00:03 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 1.837 seconds (process running for 2.604)
2024-12-13 09:00:58 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:00:58 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 13364 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:00:58 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:00:59 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:00:59 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:00:59 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2024-12-13 09:00:59 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 1.823 seconds (process running for 2.415)
2024-12-13 09:02:08 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:02:08 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 13600 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:02:08 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:02:10 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:02:10 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:02:10 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-12-13 09:02:10 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 1.822 seconds (process running for 2.419)
2024-12-13 09:02:29 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:02:29 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 19240 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:02:29 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:02:31 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:02:31 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:02:31 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2024-12-13 09:02:31 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 1.866 seconds (process running for 2.427)
2024-12-13 09:03:13 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:03:13 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 3264 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:03:13 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:03:14 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:03:14 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:03:14 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-12-13 09:03:14 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 1.832 seconds (process running for 2.406)
2024-12-13 09:06:49 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:06:49 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 12620 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:06:49 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:06:50 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:06:50 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:06:50 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-12-13 09:06:50 [main] INFO  c.e.demo.controller.ControllerTest - Started ControllerTest in 1.784 seconds (process running for 2.346)
2024-12-13 09:07:38 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-13 09:07:38 [main] INFO  c.e.demo.controller.ControllerTest - Starting ControllerTest using Java 17.0.13 with PID 2684 (started by dscha in D:\Projekte\Fraunhofer\Sortieralgorithmus\demo)
2024-12-13 09:07:38 [main] INFO  c.e.demo.controller.ControllerTest - No active profile set, falling back to 1 default profile: "default"
2024-12-13 09:07:40 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-12-13 09:07:40 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-12-13 09:07:40 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
